ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,male,single,67,university,124670,skilled employee,big city
100000002,female,non-single,22,high school,150773,skilled employee,big city
100000003,male,single,49,high school,89210,unemployed,small city
100000004,male,single,45,high school,171565,skilled employee,mid-sized city
100000005,male,single,53,high school,149031,skilled employee,mid-sized city
100000006,male,single,35,high school,144848,unemployed,small city
100000007,male,single,53,high school,156495,skilled employee,mid-sized city
100000008,male,single,35,high school,193621,management/self -employed,mid-sized city
100000009,male,non-single,61,university,151591,unemployed,small city
100000010,male,non-single,28,high school,174646,management/self -employed,small city
100000011,female,non-single,25,high school,108469,skilled employee,small city
100000012,female,non-single,24,high school,127596,skilled employee,small city
100000013,female,non-single,22,high school,108687,skilled employee,big city
100000014,male,single,60,university,89374,unemployed,small city
100000015,female,non-single,28,high school,102899,skilled employee,mid-sized city
100000016,female,non-single,32,high school,88428,unemployed,small city
100000017,male,single,53,high school,125550,skilled employee,small city
100000018,male,single,25,other,157434,skilled employee,big city
100000019,female,non-single,44,university,261952,management/self -employed,big city
100000020,male,single,31,other,144657,skilled employee,mid-sized city
100000021,male,single,48,high school,118777,skilled employee,mid-sized city
100000022,male,single,44,high school,147511,skilled employee,mid-sized city
100000023,male,single,48,high school,89804,unemployed,small city
100000024,male,single,44,high school,134918,skilled employee,big city
100000025,male,non-single,26,high school,103667,skilled employee,big city
100000026,male,single,36,high school,71909,unemployed,small city
100000027,male,non-single,39,high school,68264,unemployed,small city
100000028,female,non-single,42,university,163025,skilled employee,mid-sized city
100000029,male,single,34,high school,119307,skilled employee,mid-sized city
100000030,male,single,63,university,175882,skilled employee,small city
100000031,male,non-single,36,high school,159646,skilled employee,mid-sized city
100000032,male,single,27,other,120131,skilled employee,mid-sized city
100000033,male,single,30,other,162745,skilled employee,big city
100000034,male,single,57,university,87605,unemployed,small city
100000035,female,non-single,33,high school,155569,management/self -employed,mid-sized city
100000036,male,single,25,other,104505,unemployed,small city
100000037,male,single,31,other,143385,skilled employee,big city
100000038,male,single,37,high school,127676,skilled employee,mid-sized city
100000039,male,single,37,high school,119276,skilled employee,mid-sized city
100000040,male,single,24,other,92542,skilled employee,mid-sized city
100000041,male,single,30,other,163329,management/self -employed,mid-sized city
100000042,male,non-single,26,high school,130921,skilled employee,small city
100000043,male,single,44,high school,133658,unemployed,small city
100000044,male,non-single,24,high school,155104,skilled employee,mid-sized city
100000045,female,non-single,58,university,142335,unemployed,mid-sized city
100000046,female,non-single,35,high school,138387,management/self -employed,mid-sized city
100000047,male,single,39,high school,140182,skilled employee,small city
100000048,female,non-single,23,high school,65421,unemployed,small city
100000049,male,single,39,high school,130500,unemployed,small city
100000050,female,non-single,28,high school,122831,skilled employee,small city
100000051,male,single,29,other,84531,unemployed,small city
100000052,male,single,30,other,180196,management/self -employed,big city
100000053,male,single,25,other,92058,skilled employee,big city
100000054,male,single,31,other,117158,skilled employee,small city
100000055,male,single,57,university,135830,skilled employee,mid-sized city
100000056,male,single,26,other,58258,unemployed,small city
100000057,male,single,52,high school,202575,management/self -employed,big city
100000058,female,non-single,31,high school,183657,skilled employee,mid-sized city
100000059,female,non-single,23,high school,152267,management/self -employed,mid-sized city
100000060,female,non-single,23,high school,115240,unemployed,small city
100000061,male,non-single,27,high school,106955,skilled employee,big city
100000062,male,single,50,high school,123641,skilled employee,mid-sized city
100000063,male,single,61,university,166410,management/self -employed,mid-sized city
100000064,male,single,25,other,227385,skilled employee,big city
100000065,female,non-single,26,high school,118372,skilled employee,mid-sized city
100000066,male,single,48,high school,148115,skilled employee,mid-sized city
100000067,female,non-single,29,high school,111069,skilled employee,small city
100000068,male,non-single,22,high school,139780,skilled employee,small city
100000069,male,single,37,high school,106978,skilled employee,big city
100000070,female,non-single,25,high school,110019,skilled employee,big city
100000071,female,non-single,30,high school,169102,skilled employee,mid-sized city
100000072,male,single,46,high school,73703,unemployed,small city
100000073,male,single,51,high school,141858,management/self -employed,big city
100000074,female,non-single,41,university,135959,unemployed,small city
100000075,male,single,40,high school,140888,management/self -employed,big city
100000076,male,single,66,university,157299,management/self -employed,big city
100000077,male,single,34,high school,125187,skilled employee,mid-sized city
100000078,male,single,51,high school,155486,skilled employee,big city
100000079,male,single,39,high school,151697,unemployed,small city
100000080,male,non-single,22,high school,126400,skilled employee,mid-sized city
100000081,female,non-single,44,university,159246,skilled employee,big city
100000082,male,single,47,high school,136138,skilled employee,mid-sized city
100000083,female,non-single,24,high school,84792,unemployed,small city
100000084,female,non-single,58,university,100210,unemployed,small city
100000085,male,single,52,high school,93706,unemployed,small city
100000086,female,non-single,29,high school,133783,management/self -employed,mid-sized city
100000087,female,non-single,27,high school,110064,skilled employee,big city
100000088,male,single,47,high school,241068,skilled employee,mid-sized city
100000089,male,single,30,other,149022,management/self -employed,big city
100000090,male,single,28,other,92973,skilled employee,big city
100000091,male,single,56,high school,110605,skilled employee,mid-sized city
100000092,male,single,54,high school,116604,skilled employee,mid-sized city
100000093,female,non-single,33,high school,71070,unemployed,small city
100000094,male,single,20,other,128678,skilled employee,mid-sized city
100000095,male,single,54,high school,165230,skilled employee,big city
100000096,male,single,58,university,268340,skilled employee,mid-sized city
100000097,female,non-single,61,university,135070,skilled employee,mid-sized city
100000098,male,single,34,high school,134794,skilled employee,big city
100000099,male,single,36,high school,120153,skilled employee,mid-sized city
100000100,male,single,36,high school,195465,management/self -employed,big city
100000101,male,non-single,41,high school,93372,unemployed,small city
100000102,male,single,24,other,110446,skilled employee,small city
100000103,female,non-single,24,high school,95186,skilled employee,mid-sized city
100000104,male,single,35,high school,115343,skilled employee,mid-sized city
100000105,male,non-single,26,high school,107276,skilled employee,mid-sized city
100000106,male,single,39,high school,244716,management/self -employed,big city
100000107,male,single,39,high school,183108,management/self -employed,big city
100000108,male,single,32,other,152876,skilled employee,big city
100000109,female,non-single,30,high school,165147,skilled employee,small city
100000110,male,non-single,35,high school,140520,skilled employee,small city
100000111,male,non-single,31,high school,124203,skilled employee,mid-sized city
100000112,female,non-single,23,high school,107205,skilled employee,mid-sized city
100000113,male,single,28,other,121432,unemployed,big city
100000114,female,non-single,25,high school,162445,skilled employee,small city
100000115,male,non-single,35,high school,134112,skilled employee,mid-sized city
100000116,male,single,47,high school,131842,skilled employee,mid-sized city
100000117,female,non-single,30,high school,189896,management/self -employed,small city
100000118,female,non-single,27,high school,109099,skilled employee,big city
100000119,female,non-single,23,high school,153539,skilled employee,mid-sized city
100000120,male,non-single,36,high school,180495,management/self -employed,mid-sized city
100000121,female,non-single,25,high school,104653,skilled employee,big city
100000122,female,non-single,41,university,166933,management/self -employed,big city
100000123,male,single,24,other,66118,unemployed,small city
100000124,male,single,63,university,135754,skilled employee,small city
100000125,female,non-single,27,high school,116103,skilled employee,big city
100000126,male,single,30,other,104293,skilled employee,mid-sized city
100000127,male,non-single,40,high school,71702,unemployed,small city
100000128,male,single,30,other,99066,skilled employee,big city
100000129,male,single,34,high school,143979,management/self -employed,big city
100000130,female,non-single,29,high school,123818,skilled employee,small city
100000131,female,non-single,24,high school,176714,skilled employee,big city
100000132,male,single,29,other,149249,skilled employee,big city
100000133,male,single,27,other,77535,unemployed,small city
100000134,male,single,47,high school,116540,skilled employee,mid-sized city
100000135,female,non-single,21,high school,194728,skilled employee,small city
100000136,female,non-single,38,high school,109311,skilled employee,big city
100000137,male,single,27,other,204723,skilled employee,big city
100000138,male,single,66,university,126003,unemployed,small city
100000139,male,single,35,high school,123109,skilled employee,mid-sized city
100000140,female,non-single,44,university,108251,unemployed,small city
100000141,male,non-single,27,high school,89908,unemployed,small city
100000142,female,non-single,30,high school,176057,management/self -employed,mid-sized city
100000143,male,single,27,other,144332,management/self -employed,big city
100000144,male,single,22,other,101185,skilled employee,mid-sized city
100000145,female,non-single,23,high school,107406,skilled employee,big city
100000146,male,single,30,other,140665,skilled employee,mid-sized city
100000147,female,non-single,39,university,106461,skilled employee,small city
100000148,female,non-single,51,university,127825,skilled employee,small city
100000149,male,single,28,other,133898,skilled employee,mid-sized city
